RH	AH
55.025	0.84125
50.18666667	0.900833333
49.10416667	0.935416667
45.7	0.960833333
50.1625	1.042083333
53.95416667	1.0175
48.20416667	0.908333333
54.71666667	0.866666667
49.15833333	0.755833333
44.82208333	1.199166667
49.16666667	0.780833333
43.7625	0.667916667
52.97916667	0.740833333
53.05	0.782083333
47.35833333	0.787916667
51.22083333	0.835416667
69.34166667	1.09875
64.27916667	1.09875
64.1375	1.121666667
67.43333333	1.03125
56.90833333	0.980416667
45	0.9
39.30833333	0.884583333
39.15	0.910833333
48.52083333	1.079583333
41.19583333	0.7
38.55833333	0.724583333
35.55416667	0.814583333
42.775	1.009583333
51.19166667	1.06875
66.57083333	1.344583333
52.18333333	1.167083333
49.56666667	1.07375
48.75416667	1.127916667
66.275	1.337916667
66.89166667	1.218333333
62.77916667	1.005
55.58333333	0.93875
59.30833333	0.935
56.92083333	0.967083333
50.4625	0.99875
48.05416667	0.97875
56.32083333	1.09375
51.34166667	1.025833333
37.30833333	0.89875
34.3875	0.8075
34.8375	0.887916667
26.02083333	0.635416667
30.98333333	0.857083333
37.69166667	0.9925
37.43333333	1.003333333
34.72083333	0.929583333
42.35416667	1.0825
41.75833333	1.069166667
25.66666667	0.558333333
26.33208333	0.627916667
30.51166667	0.894583333
32.06666667	0.837916667
41.14166667	0.989583333
39.0625	0.905416667
31.28333333	0.843333333
42.87083333	1.111666667
66.15416667	1.533333333
52.68333333	1.478333333
45.95	1.21875
39.42083333	1.089166667
45.07083333	1.275416667
48.72916667	1.199166667
37.7125	1.124583333
38.35	1.255416667
35.84583333	1.314583333
36.65833333	1.329166667
29.58333333	1.033333333
33.55416667	1.160416667
42.84166667	1.143333333
43.89166667	1.15375
36.06666667	1.167916667
41.97083333	1.314166667
42.625	1.312083333
38.00416667	1.3525
44.26958333	1.279166667
46.20083333	1.13
35.62	1.014166667
37.975	1.162083333
36.52083333	1.228333333
41.33333333	1.435416667
33.7	1.159166667
32.24583333	1.15125
33.67083333	1.350833333
33.2125	1.387083333
37.05833333	1.6
38.65	1.680416667
39.69166667	1.625833333
33.77916667	1.364166667
31.89583333	1.129583333
35.59166667	1.251666667
31.0125	1.16
31.14583333	1.201666667
25.40833333	1.109583333
28.20833333	1.284583333
31.21666667	1.182083333
35.72916667	1.144583333
36.0875	1.11375
40.79583333	1.096666667
34.71666667	0.962916667
28.46666667	0.935416667
32.59166667	1.1325
30.99166667	1.102916667
29.22083333	1.08125
26.90416667	1.042916667
28.80833333	1.184583333
29.225	1.2625
30.80416667	1.33875
33.0875	1.454583333
31.85	1.398333333
39.87916667	1.630416667
49.75416667	1.69125
35.6125	1.442083333
32.475	1.17875
26.45	0.935416667
28.30416667	1.082916667
37.05416667	1.448333333
38.52666667	1.547916667
42.12083333	1.672916667
43.63333333	1.765
41.35	1.74375
42.05833333	1.720416667
56.64583333	1.799583333
58.0375	1.89
46.3625	1.715833333
50.14583333	1.82375
50.50166667	1.715
43.8875	1.85375
46.00416667	1.997916667
47.5875	1.978333333
44.47083333	1.740416667
41.8	1.643333333
37.76666667	1.414583333
30.23333333	1.170833333
33.85833333	1.346666667
37.40833333	1.52375
41.4	1.88
45.25833333	1.915416667
37.69583333	1.29375
38.43333333	1.215833333
34.825	1.199166667
35.99166667	1.274166667
42.14583333	1.592083333
47.64041667	1.115
48.44958333	1.05
40.36708333	1.315
44.9875	1.516666667
46.15416667	1.576666667
46.18333333	1.582916667
42.09166667	1.383333333
38.06666667	1.39125
37.2375	1.442083333
34.64583333	1.36625
27.2375	1.057916667
36.4125	1.226666667
34.04291667	1.149583333
42.57958333	1.015416667
26.55	0.964166667
30.6125	1.077083333
35.55	1.20625
55.24583333	1.69125
50	1.585416667
55.95416667	1.71375
67.76666667	1.8475
61.10833333	1.525833333
48.52916667	1.24
38.85833333	1.118333333
43.92083333	1.279166667
43.2625	1.32
47.61666667	1.423333333
51.27916667	1.494583333
50.7875	1.596666667
58.6125	1.439583333
40.99166667	0.81
42.45416667	0.85375
42.44583333	0.882083333
42.39166667	0.9175
44.05416667	1.03375
53.0875	1.329166667
59.79208333	1.540833333
57.39166667	1.559583333
